City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Pevek,RU,2021-02-05 19:39,69.7008,170.3133,-16.82,86,75,1.57
166,Poum,NC,2021-02-05 19:49,-20.2333,164.0167,79.5,74,0,5.61
167,Kaeo,NZ,2021-02-05 19:48,-35.1,173.7833,61,95,100,1.01
168,Hilo,US,2021-02-05 19:36,19.7297,-155.09,72,60,75,4.61
169,Imbituba,BR,2021-02-05 19:42,-28.24,-48.6703,78.8,61,0,13.8
170,Kruisfontein,ZA,2021-02-05 19:42,-34.0033,24.7314,73,79,39,4
171,Acarau,BR,2021-02-05 19:42,-2.8856,-40.12,82.51,66,27,16.73
172,Myitkyina,MM,2021-02-05 19:48,25.3833,97.4,56.66,51,0,2.91
173,Guerrero Negro,MX,2021-02-05 19:46,27.9769,-114.0611,68.52,40,0,12.12
174,Chardara,KZ,2021-02-05 19:49,41.2547,67.9692,51.04,45,100,14.18
175,Dwarka,IN,2021-02-05 19:49,22.2394,68.9678,69.4,50,0,16.06
176,Georgetown,MY,2021-02-05 19:37,5.4112,100.3354,82.4,74,20,4.61
177,Henties Bay,NA,2021-02-05 19:42,-22.116,14.2845,64.99,89,18,3
178,Cherskiy,RU,2021-02-05 19:40,68.75,161.3,-16.2,77,0,2.59
179,Sorland,NO,2021-02-05 19:45,67.667,12.6934,37.4,70,75,11.5
180,Naze,JP,2021-02-05 19:43,28.3667,129.4833,60.67,76,48,11.97
181,Havelock,US,2021-02-05 19:47,34.8791,-76.9013,53.01,92,100,5.99
182,Bani Walid,LY,2021-02-05 19:49,31.7566,13.9942,64.92,26,99,7.49
183,Bengkulu,ID,2021-02-05 19:41,-3.8004,102.2655,76.17,85,70,5.55
184,Roebourne,AU,2021-02-05 19:49,-20.7833,117.1333,79.83,78,24,10.16
185,Praia Da Vitoria,PT,2021-02-05 19:42,38.7333,-27.0667,57.2,77,75,13.73
186,Ruidoso,US,2021-02-05 19:45,33.3317,-105.673,48,17,1,13.8
187,Muroto,JP,2021-02-05 19:41,33.2833,134.15,53.71,57,84,8.77
188,Muros,ES,2021-02-05 19:41,42.7762,-9.0603,53.01,72,100,18.45
189,Hami,CN,2021-02-05 19:49,42.8,93.45,29.16,86,100,0.67
190,Port Hardy,CA,2021-02-05 19:41,50.6996,-127.4199,44.6,81,40,8.05
191,Ambulu,ID,2021-02-05 19:49,-8.345,113.6058,76.17,88,97,2.39
192,Dongsheng,CN,2021-02-05 19:49,39.8161,109.9776,25.47,80,0,9.82
193,Isangel,VU,2021-02-05 19:43,-19.55,169.2667,75.2,94,20,1.59
194,Sur,OM,2021-02-05 19:43,22.5667,59.5289,64.22,67,0,4.68
195,Florianopolis,BR,2021-02-05 19:45,-27.6146,-48.5012,78.8,61,0,13.8
196,Piombino,IT,2021-02-05 19:49,42.9348,10.5221,57.99,89,44,1.01
197,Maceio,BR,2021-02-05 19:49,-9.6658,-35.7353,86,62,0,17.27
198,Huarmey,PE,2021-02-05 19:45,-10.0681,-78.1522,75.83,63,82,12.24
199,Kirakira,SB,2021-02-05 19:49,-10.4544,161.9205,79.9,82,37,8.32
200,Ilovlya,RU,2021-02-05 19:49,49.3033,43.9796,28.4,74,75,26.84
201,Rassvet,RU,2021-02-05 19:49,46.8333,40.75,28.63,89,50,14.47
202,Arraial Do Cabo,BR,2021-02-05 19:40,-22.9661,-42.0278,86,74,0,8.05
203,Todos Santos,MX,2021-02-05 19:49,23.45,-110.2167,84,35,1,8.99
204,Waingapu,ID,2021-02-05 19:49,-9.6567,120.2641,77.95,83,100,8.88
205,Tutoia,BR,2021-02-05 19:49,-2.7619,-42.2744,87.8,62,20,20.71
206,Nantucket,US,2021-02-05 19:46,41.2835,-70.0995,44.01,87,90,13.8
207,Faanui,PF,2021-02-05 19:41,-16.4833,-151.75,81.18,65,4,5.3
208,Vila,PT,2021-02-05 19:49,42.0304,-8.1588,46,94,100,7.02
209,Ambilobe,MG,2021-02-05 19:43,-13.2,49.05,75.2,90,79,2.44
210,Madaoua,NE,2021-02-05 19:45,14.073,5.96,76.12,17,0,12.06
211,Geraldton,AU,2021-02-05 19:41,-28.7667,114.6,62.6,94,90,11.5
212,Torbay,CA,2021-02-05 19:49,47.6666,-52.7314,39.99,87,75,23.02
213,Ufimskiy,RU,2021-02-05 19:49,56.7084,58.0517,35.87,95,100,12.53
214,Mufumbwe,ZM,2021-02-05 19:49,-13.6833,24.8,66.51,92,92,1.5
215,Trairi,BR,2021-02-05 19:49,-3.2778,-39.2689,81.95,69,0,11.81
216,Poso,ID,2021-02-05 19:49,-1.3959,120.7524,76.55,83,100,6.55
217,Garmsar,IR,2021-02-05 19:49,35.2182,52.3409,57.22,57,100,6.46
218,Constitucion,CL,2021-02-05 19:39,-35.3333,-72.4167,65.34,67,49,5.88
219,Chuy,UY,2021-02-05 19:36,-33.6971,-53.4616,69.46,65,28,13.4
220,Savelugu,GH,2021-02-05 19:49,9.6244,-0.8253,88.74,15,0,7.02
221,Broken Hill,AU,2021-02-05 19:43,-31.95,141.4333,62.6,63,0,10.36
222,Mogadishu,SO,2021-02-05 19:38,2.0371,45.3438,76.69,82,0,20.04
223,Iquique,CL,2021-02-05 19:45,-20.2208,-70.1431,77,53,0,10.36
224,Qaanaaq,GL,2021-02-05 19:41,77.484,-69.3632,-9.89,75,100,7.81
225,College,US,2021-02-05 19:48,64.8569,-147.8028,-18.4,63,40,8.05
226,Tommot,RU,2021-02-05 19:49,58.9564,126.2925,-23.31,83,99,2.89
227,Nurota,UZ,2021-02-05 19:49,40.5614,65.6886,53.6,30,100,9.22
228,Venadillo,CO,2021-02-05 19:49,4.7193,-74.9292,92.86,41,100,3.22
229,Port Moresby,PG,2021-02-05 19:39,-9.4431,147.1797,75.2,94,1,8.05
230,Coquimbo,CL,2021-02-05 19:39,-29.9533,-71.3436,66.2,72,20,13.8
231,Tarbes,FR,2021-02-05 19:50,43.25,0.1667,51.8,87,90,5.75
232,Namwala,ZM,2021-02-05 19:50,-15.7504,26.4384,68.85,93,84,3.71
233,Riyadh,SA,2021-02-05 19:50,24.6877,46.7219,71.6,17,0,9.22
234,Mangrol,IN,2021-02-05 19:47,21.1167,70.1167,66.34,38,0,14.76
235,Ixtapa,MX,2021-02-05 19:41,20.7,-105.2,75.2,60,1,6.91
236,Sao Filipe,CV,2021-02-05 19:50,14.8961,-24.4956,70.93,74,72,17.78
237,Meulaboh,ID,2021-02-05 19:40,4.1363,96.1285,76.55,88,5,4.45
238,Valparaiso,CL,2021-02-05 19:50,-33.0393,-71.6273,64.99,82,90,8.05
239,Buala,SB,2021-02-05 19:50,-8.145,159.5921,80.29,78,21,9.57
240,Lebu,CL,2021-02-05 19:40,-37.6167,-73.65,65.88,69,10,13.4
241,Walvis Bay,NA,2021-02-05 19:50,-22.9575,14.5053,64.99,82,94,6.91
242,Lixourion,GR,2021-02-05 19:50,38.2019,20.4314,58.35,73,24,7.65
243,Tuatapere,NZ,2021-02-05 19:50,-46.1333,167.6833,58.26,80,99,0.78
244,Saqqez,IR,2021-02-05 19:49,36.2499,46.2735,39.4,88,100,2.17
245,Grand-Santi,GF,2021-02-05 19:50,4.25,-54.3833,80.08,82,61,5.64
246,Ziro,IN,2021-02-05 19:50,27.6333,93.8333,36.61,92,0,2.82
247,Baykit,RU,2021-02-05 19:50,61.67,96.37,-1.07,88,100,3.51
248,Grindavik,IS,2021-02-05 19:50,63.8424,-22.4338,37.4,81,75,18.41
249,Komsomolskiy,UZ,2021-02-05 19:41,40.4272,71.7189,39.2,45,100,4.61
250,Ulladulla,AU,2021-02-05 19:47,-35.35,150.4667,71.01,94,75,4.61
