City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Bandarbeyla,SO,9.4942,50.8122,76.37,78,1,17.63,clear sky
198,Mastic,US,40.802,-72.8409,33.01,93,90,17.27,snow
199,Upernavik,GL,72.7868,-56.1549,18.9,81,33,4.21,scattered clouds
200,Grenada,ES,37.1882,-3.6067,48.2,76,75,8.05,broken clouds
201,Acapulco,MX,16.8634,-99.8901,84.2,61,40,5.08,scattered clouds
202,Sibolga,ID,1.7427,98.7792,77.36,80,93,3.36,overcast clouds
203,Codrington,AU,-38.2667,141.9667,56.28,70,99,10.71,overcast clouds
204,Kavieng,PG,-2.5744,150.7967,82.53,77,42,8.77,scattered clouds
205,Luanda,AO,-8.8368,13.2343,80.6,78,75,8.05,broken clouds
206,Pimentel,PE,-6.8367,-79.9342,87.8,45,0,14.97,clear sky
207,Vitim,RU,59.4511,112.5578,12.87,94,100,10.54,light snow
208,Balkhash,KZ,46.844,74.9804,24.37,99,69,3.8,broken clouds
209,Tazovskiy,RU,67.4667,78.7,-12.86,90,100,19.15,light snow
210,Dalvik,IS,65.9702,-18.5286,32.0,74,75,2.3,broken clouds
211,Marshall,US,34.3834,-86.3333,43.0,70,90,8.05,overcast clouds
212,Nhulunbuy,AU,-12.2333,136.7667,80.6,83,100,10.36,overcast clouds
213,Hindoria,IN,23.9,79.5667,55.49,39,0,3.36,clear sky
214,Baherden,TM,38.4362,57.4316,58.35,56,95,1.61,overcast clouds
215,Stephenville,US,32.2207,-98.2023,52.0,58,1,16.11,clear sky
216,Pacific Grove,US,36.6177,-121.9166,52.0,81,1,6.91,clear sky
217,Porto Santo,PT,33.072,-16.3415,62.6,77,75,17.27,broken clouds
218,San Patricio,US,28.017,-97.5169,71.6,46,1,13.8,clear sky
219,Saint-Georges,GD,12.0564,-61.7485,84.2,65,20,23.02,few clouds
220,Kinshasa,CD,-4.3246,15.3215,75.2,88,20,13.8,light rain
221,Ancud,CL,-41.8697,-73.8203,80.6,36,0,6.91,clear sky
222,Basqal,AZ,40.7552,48.391,53.6,50,90,19.57,overcast clouds
223,Faanui,PF,-16.4833,-151.75,81.1,74,5,11.88,clear sky
